property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
Apartment,PRD Darwin - DARWIN City,279000,135549954,Darwin City,800,standard,1,1,0
Unit,Real Estate Central - DARWIN CITY,500000,135408698,Darwin City,800,feature,2,2,0
Apartment,For Sale By Owner,280000,135162630,Darwin City,800,standard,2,1,1
Apartment,David Booth Real Estate Pty Ltd - Darwin,800000,135017498,Darwin City,800,standard,3,2,2
Unit,No Agent Property - BRIGHTON EAST,280000,134958294,Darwin City,800,standard,2,1,1
Apartment,First National Real Estate O'Donoghues - Darwin,449000,134691086,Darwin City,800,feature,3,2,1
Apartment,Professionals - DARWIN CITY,455000,134336186,Darwin City,800,standard,2,2,2
Apartment,Knight Frank (NT) - Darwin,450000,134284934,Darwin City,800,feature,2,2,1
Unit,@realty - National Head Office Australia,685000,134243058,Darwin City,800,standard,2,2,2
Unit,Alliance Realty - Larrakeyah,289000,133954166,Darwin City,800,feature,2,2,1
Apartment,Property Now - MOOLOOLABA,429000,131924438,Darwin City,800,standard,2,2,2
Apartment,Get Realty - PALMERSTON CITY,559000,131088786,Darwin City,800,standard,2,2,1
Studio,PRD Darwin - DARWIN City,210000,130799762,Darwin City,800,standard,0,1,1
Unit,Raine & Horne - Darwin,200000,130692394,Darwin City,800,feature,1,1,1
Apartment,No Agent Property - BRIGHTON EAST,300000,128847582,Darwin City,800,standard,1,1,0
Apartment,Alliance Realty - Larrakeyah,450000,127886758,Darwin City,800,feature,2,2,2
Apartment,Knight Frank (NT) - Darwin,300000,126358194,Darwin City,800,feature,1,1,0
Unit,Property Now - MOOLOOLABA,499000,126204186,Darwin City,800,standard,2,2,1
Unit,Real Estate Central - DARWIN CITY,480000,125245746,Darwin City,800,standard,3,2,2
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,325000,125074482,Darwin City,800,feature,2,2,2
Unit,No Agent Property - BRIGHTON EAST,440000,124942194,Darwin City,800,standard,1,1,1
Unit,All About Real Estate NT - DARWIN CITY,310000,124505386,Darwin City,800,standard,2,1,0
Unit,For Sale By Owner,200000,123568538,Darwin City,800,standard,1,1,1
Unit,Sale By Home Owner - Australia,399000,123447334,Darwin City,800,standard,1,1,2
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,430000,122340386,Darwin City,800,feature,1,1,1
Unit,Real Value Properties NT - Northern Territory,99950,122153494,Darwin City,800,standard,0,1,1
Apartment,Property Now - MOOLOOLABA,900000,121787298,Darwin City,800,standard,3,2,2
Apartment,Knight Frank (NT) - Darwin,895000,119162699,Darwin City,800,standard,3,2,2
Unit,Elders Real Estate - Darwin,610000,116976859,Darwin City,800,standard,2,2,2
House,All About Real Estate NT - DARWIN CITY,665000,139470355,Leanyer,812,premiere,4,2,5
House,Elders Real Estate - Palmerston,575000,139469627,Durack,830,premiere,3,2,2
House,Professionals - DARWIN CITY,435000,139468611,Darwin City,800,premiere,2,1,1
House,Real Estate Central Projects - Darwin,550000,139466727,Herbert,836,premiere,3,2,6
House,For Sale By Owner,475000,139464255,Driver,830,standard,3,1,3
Apartment,Nick Mousellis Real Estate - Eview Group Member,320000,139463755,Darwin City,800,premiere,3,2,2
Townhouse,HERON PROPERTY - DARWIN,365000,139463159,Stuart Park,820,premiere,2,1,1
Unit,Habitat Real Estate - THE GARDENS,310000,139462495,Darwin City,800,premiere,2,1,1
House,Real Value Properties NT - Northern Territory,700000,139462383,Humpty Doo,836,premiere,5,2,10
House,Knight Frank (NT) - Darwin,419000,139461923,Driver,830,premiere,3,1,3
Unit,Eview Group - Corporate,330000,139455515,Wanguri,810,standard,2,2,2
House,Call2View Real Estate - Palmerston,560000,139455283,Bakewell,832,premiere,3,2,2
House,Absolute Real Estate NT - Darwin,460000,139454871,Karama,812,premiere,2,1,3
Unit,Elders Real Estate - Palmerston,290000,139454387,Bakewell,832,premiere,2,1,2
House,Call2View Real Estate - Palmerston,420000,139453903,Humpty Doo,836,premiere,2,1,2
House,Elders Real Estate - Darwin,570000,139452127,Jingili,810,premiere,4,2,2
House,Ray White - NIGHTCLIFF,259000,139451679,Darwin City,800,premiere,1,1,0
House,Kalo Real Estate - Darwin,569000,139376355,Gunn,832,premiere,4,2,2
Unit,Carol Need Real Estate - Fannie Bay,439000,139433803,Darwin City,800,premiere,3,2,2
House,Core Realty NT - RAPID CREEK,739000,139450159,Durack,830,premiere,4,2,2
House,Real Estate Central - DARWIN CITY,399000,139450007,Woodroffe,830,premiere,4,1,2
House,Call2View Real Estate - Palmerston,599000,139449919,Leanyer,812,premiere,3,1,2
Apartment,Real Estate Central - DARWIN CITY,660000,139449483,Parap,820,premiere,3,2,3
Apartment,Nicole Wheeler@realty - LARRAKEYAH,430000,139446743,Rapid Creek,810,standard,2,2,2
Unit,Ray White Bayside - FANNIE BAY,250000,139444759,Coolalinga,839,premiere,1,1,2
House,For Sale By Owner,800000,139442919,Karama,812,standard,5,3,2
House,Core Realty NT - RAPID CREEK,880000,139442843,Marrara,812,premiere,4,2,2
House,Elders Real Estate - Palmerston,540000,139439127,Gunn,832,premiere,3,2,3
Apartment,iProperty NT - Darwin,825000,139434039,Darwin City,800,premiere,3,2,2
House,Real Estate Central - DARWIN CITY,399000,139433323,Bakewell,832,premiere,3,1,2
Unit,Nicole Wheeler@realty - LARRAKEYAH,820000,139433055,Darwin City,800,premiere,3,2,2
House,Call2View Real Estate - Palmerston,549000,139432899,Karama,812,premiere,4,2,4
House,Real Value Properties NT - Northern Territory,370000,139430295,Moulden,830,premiere,3,1,4
House,Nick Mousellis Real Estate - Eview Group Member,500000,139429791,Leanyer,812,premiere,4,2,5
Unit,Renee's Realty NT - DURACK,325000,139429603,Woodroffe,830,premiere,2,1,2
Unit,@realty - National Head Office Australia,450000,139428983,Parap,820,standard,2,2,2
Apartment,@realty - National Head Office Australia,430000,139428911,Rapid Creek,810,standard,2,2,2
Unit,Raine & Horne - Darwin,450000,139428271,Woolner,820,premiere,2,2,2
Unit,Ray White City (NT) -    ,470000,139427595,Woolner,820,premiere,3,2,2
House,Urbex - ZUCCOLI,612300,600000995,Zuccoli,832,premiere,4,2,2
House,Urbex - ZUCCOLI,592000,600000995,Zuccoli,832,premiere,4,2,2
House,Urbex - ZUCCOLI,614000,600000995,Zuccoli,832,premiere,4,2,2
House,Real Estate Central - DARWIN CITY,425000,139425115,Moulden,830,premiere,3,1,1
Apartment,Cate Killiner Real Estate - Woolner,325000,139424179,Rapid Creek,810,standard,2,1,1
House,Call2View Real Estate - Palmerston,779000,139423359,Rosebery,832,premiere,5,3,3
Unit,Real Estate Central - DARWIN CITY,450000,139421739,Parap,820,premiere,2,2,1
Apartment,For Sale By Owner,425000,139420119,Woolner,820,standard,2,2,2
Unit,Property Shop - Darwin,369000,139419411,Darwin City,800,premiere,2,1,1
House,Ray White City (NT) -    ,850000,139418419,Rapid Creek,810,premiere,3,1,2
House,Core Realty NT - RAPID CREEK,539000,139417975,Anula,812,premiere,3,1,2
Apartment,North Property NT - STUART PARK,395000,139417559,Parap,820,premiere,1,1,2
Unit,Real Estate NT by George Pikos - FANNIE BAY,340000,139415863,Rosebery,832,premiere,2,2,2
Unit,Ray White - NIGHTCLIFF,475000,139413087,Stuart Park,820,premiere,2,1,2
House,All Real Estate NT,570000,139412287,Gray,830,midtier,4,2,2
House,Call2View Real Estate - Palmerston,419000,139412239,Rosebery,832,premiere,3,2,2
Unit,@realty - National Head Office Australia,285000,139411639,Fannie Bay,820,midtier,2,1,1
Unit,Real Estate Central Projects - Darwin,439000,139407883,Darwin City,800,premiere,2,2,1
House,No Agent Property - BRIGHTON EAST,470000,139407867,Woodroffe,830,standard,3,1,3
Unit,LJ Hooker Darwin -   ,365000,139406391,Woolner,820,premiere,2,2,2
Unit,Real Estate Central - DARWIN CITY,299000,139403051,Rapid Creek,810,premiere,2,1,1
House,LJ Hooker Darwin -   ,499000,139402963,Bakewell,832,premiere,3,2,2
Unit,Absolute Real Estate NT - Darwin,420000,139400443,Stuart Park,820,premiere,2,2,2
Unit,Real Estate Central - DARWIN CITY,270000,139400367,Wagaman,810,premiere,2,1,0
Unit,Ray White Bayside - FANNIE BAY,280000,139400079,Stuart Park,820,premiere,2,1,1
Unit,Raine & Horne - Darwin,275000,139399967,Bakewell,832,premiere,2,1,3
Acreage,Litchfield Realty - Humpty Doo,750000,139398515,Humpty Doo,836,premiere,4,2,6
Unit,First National Real Estate O'Donoghues - Darwin,285000,139397735,Bakewell,832,premiere,2,1,1
House,Call2View Real Estate - Palmerston,599000,139396347,Durack,830,premiere,4,2,2
Apartment,Real Estate Central - DARWIN CITY,455000,139395811,Darwin City,800,premiere,2,2,1
Unit,Elders Real Estate - Darwin,575000,139393795,Rapid Creek,810,premiere,3,2,3
Apartment,Professionals - DARWIN CITY,280000,139393067,Darwin City,800,premiere,1,1,1
House,For Sale By Owner,579000,139390543,Zuccoli,832,standard,4,2,2
House,Elders Real Estate - Darwin,530000,139388739,Karama,812,premiere,3,1,2
House,Elders Real Estate - Palmerston,739000,139386923,Berry Springs,838,premiere,4,2,2
House,Elders Real Estate - Palmerston,750000,139385719,Bellamack,832,premiere,4,2,3
House,Absolute Real Estate NT - Darwin,535000,139383779,Gray,830,premiere,4,3,6
House,Red Earth Property,629000,139383619,Humpty Doo,836,premiere,3,1,4
Unit,Absolute Real Estate NT - Darwin,275000,139383231,Stuart Park,820,premiere,1,1,1
House,Raine & Horne - Darwin,550000,139382119,Malak,812,premiere,3,1,2
House,K G Young & Associates Pty Ltd - Darwin,639000,139381639,Woolner,820,premiere,3,2,1
House,First National Real Estate O'Donoghues - Darwin,650000,139378407,Bellamack,832,premiere,4,2,2
Townhouse,First National Real Estate O'Donoghues - Darwin,329000,139375779,Millner,810,premiere,2,1,1
Apartment,Smith Real Estate NT,385000,139372067,Stuart Park,820,premiere,2,2,2
Apartment,Raine & Horne - Darwin,550000,139371843,Bayview,820,premiere,3,2,2
House,Raine & Horne - Darwin,549000,139369823,Driver,830,premiere,5,2,4
Unit,Nick Mousellis Real Estate - Eview Group Member,300000,139369455,Leanyer,812,premiere,2,1,1
Apartment,Cate Killiner Real Estate - Woolner,387000,139368543,Larrakeyah,820,standard,2,2,1
